grid_size,grid_cells,clusters,noise_cells,noise_percent,largest_cluster,smallest_cluster,median_cluster_size,runtime_seconds,interpretation
0.005,4339,19,424,9.77,3523,3,6.0,2.984,Fine aggregation retains local detail and produces many cells.
0.01,1314,20,376,28.61,652,3,7.5,2.666,Balanced exploratory aggregation used by the interface default.
0.02,401,14,261,65.09,32,5,6.5,2.392,Coarser aggregation smooths away many smaller grid patterns.
0.03,210,3,194,92.38,6,5,5.0,2.460,Very coarse aggregation leaves few qualifying dense patterns.
